2026-03-04 22:58:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:36] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:58:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:36] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:58:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:36] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:58:36 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:36] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:58:42 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:58:43 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:58:43 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:43] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:58:44 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:44] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:05:39 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 23:05:39 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 23:05:39 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 23:05:39 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 23:05:39 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 23:05:41 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:41] "GET / HTTP/1.1" 200 -
2026-03-04 23:05:41 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:41] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 23:05:41 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:41] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 23:05:42 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:42] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 23:05:42 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:42] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:05:45 | INFO | utility | Scheduler triggered via UI.
2026-03-04 23:05:46 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 23:05:46 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:46] "POST /api/run HTTP/1.1" 200 -
2026-03-04 23:05:46 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:46] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:05:58 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:58] "GET / HTTP/1.1" 200 -
2026-03-04 23:05:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:59] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 23:05:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:59] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 23:05:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:59] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-03-04 23:05:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:59] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 23:05:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:05:59] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 23:06:03 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 23:06:03] "GET /api/shortage HTTP/1.1" 200 -
